 Tabela de Encode ASCII
 ======================
 
 
Decimal	Hexadecimal		UTF-16					UTF-32								Símbolo		Interpretação
0		0x00			\xff\xfe\x00\x00		\xff\xfe\x00\x00\x00\x00\x00\x00	NULL		Null
119		0x77			\xff\xfe\x77\x00		\xff\xfe\x00\x00\x77\x00\x00\x00	w	 		Letter w
120		0x78			\xff\xfe\x78\x00		\xff\xfe\x00\x00\x78\x00\x00\x00	x	 		Letter x
121		0x79			\xff\xfe\x79\x00		\xff\xfe\x00\x00\x79\x00\x00\x00	y	 		Letter y
122		0x7A			\xff\xfe\x7A\x00		\xff\xfe\x00\x00\x7A\x00\x00\x00	z	 		Letter z
123		0x7B			\xff\xfe\x7B\x00		\xff\xfe\x00\x00\x7B\x00\x00\x00	{	 		Left Curly Backet
124		0x7C			\xff\xfe\x7C\x00		\xff\xfe\x00\x00\x7C\x00\x00\x00	|	 		Vertical Line (Pipe)
125		0x7D			\xff\xfe\x7D\x00		\xff\xfe\x00\x00\x7D\x00\x00\x00	}	 		Right Curly Backet
126		0x7E			\xff\xfe\x7E\x00		\xff\xfe\x00\x00\x7E\x00\x00\x00	~	 		Tilde
127		0x7F			\xff\xfe\x7F\x00		\xff\xfe\x00\x00\x7F\x00\x00\x00	DEL	 		Delete
128		0x80			\xff\xfe\x80\x00		\xff\xfe\x00\x00\x80\x00\x00\x00	€			Euro		
129		0x81			\xff\xfe\x81\x00		\xff\xfe\x00\x00\x81\x00\x00\x00				
130		0x82			\xff\xfe\x82\x00		\xff\xfe\x00\x00\x82\x00\x00\x00	‚ 			
131		0x83			\xff\xfe\x83\x00		\xff\xfe\x00\x00\x83\x00\x00\x00	ƒ 			
132		0x84			\xff\xfe\x84\x00		\xff\xfe\x00\x00\x84\x00\x00\x00	„ 			
133		0x85			\xff\xfe\x85\x00		\xff\xfe\x00\x00\x85\x00\x00\x00	… 		
134     0x86        	\xff\xfe\x86\x00		\xff\xfe\x00\x00\x86\x00\x00\x00	† 			
135     0x87        	\xff\xfe\x87\x00		\xff\xfe\x00\x00\x87\x00\x00\x00	‡ 			
136     0x88        	\xff\xfe\x88\x00		\xff\xfe\x00\x00\x88\x00\x00\x00	ˆ 			
137     0x89        	\xff\xfe\x89\x00		\xff\xfe\x00\x00\x89\x00\x00\x00	‰ 			
138     0x8A        	\xff\xfe\x8A\x00		\xff\xfe\x00\x00\x8A\x00\x00\x00	Š 			
139     0x8B        	\xff\xfe\x8B\x00		\xff\xfe\x00\x00\x8B\x00\x00\x00	‹ 			
140     0x8C        	\xff\xfe\x8C\x00		\xff\xfe\x00\x00\x8C\x00\x00\x00	Œ 			
141     0x8D        	\xff\xfe\x8D\x00		\xff\xfe\x00\x00\x8D\x00\x00\x00				
142     0x8E        	\xff\xfe\x8E\x00		\xff\xfe\x00\x00\x8E\x00\x00\x00	Ž 			
143     0x8F        	\xff\xfe\x8F\x00		\xff\xfe\x00\x00\x8F\x00\x00\x00				
144     0x90        	\xff\xfe\x90\x00		\xff\xfe\x00\x00\x90\x00\x00\x00				
145     0x91        	\xff\xfe\x91\x00		\xff\xfe\x00\x00\x91\x00\x00\x00	‘ 			
146     0x92        	\xff\xfe\x92\x00		\xff\xfe\x00\x00\x92\x00\x00\x00	’ 			
147     0x93        	\xff\xfe\x93\x00		\xff\xfe\x00\x00\x93\x00\x00\x00	“ 			
148     0x94        	\xff\xfe\x94\x00		\xff\xfe\x00\x00\x94\x00\x00\x00	” 			
149     0x95        	\xff\xfe\x95\x00		\xff\xfe\x00\x00\x95\x00\x00\x00	• 			
150     0x96        	\xff\xfe\x96\x00		\xff\xfe\x00\x00\x96\x00\x00\x00	– 			
151     0x97        	\xff\xfe\x97\x00		\xff\xfe\x00\x00\x97\x00\x00\x00	— 			
152     0x98        	\xff\xfe\x98\x00		\xff\xfe\x00\x00\x98\x00\x00\x00				
153     0x99        	\xff\xfe\x99\x00		\xff\xfe\x00\x00\x99\x00\x00\x00	™ 				
154     0x9A        	\xff\xfe\x9A\x00		\xff\xfe\x00\x00\x9A\x00\x00\x00	š 				
155     0x9B        	\xff\xfe\x9B\x00		\xff\xfe\x00\x00\x9B\x00\x00\x00	› 			
156     0x9C        	\xff\xfe\x9C\x00		\xff\xfe\x00\x00\x9C\x00\x00\x00	œ 			
157     0x9D        	\xff\xfe\x9D\x00		\xff\xfe\x00\x00\x9D\x00\x00\x00				
158		0x9E			\xff\xfe\x9E\x00		\xff\xfe\x00\x00\x9E\x00\x00\x00	ž 						
159		0x9F			\xff\xfe\x9F\x00		\xff\xfe\x00\x00\x9F\x00\x00\x00	Ÿ 	
160		0xA0			\xff\xfe\xA0\x00		\xff\xfe\x00\x00\xA0\x00\x00\x00	 	 		Space
161		0xA1			\xff\xfe\xA1\x00		\xff\xfe\x00\x00\xA1\x00\x00\x00	¡	 		Inverted Exclamation
162		0xA2			\xff\xfe\xA2\x00		\xff\xfe\x00\x00\xA2\x00\x00\x00	¢	 		Cent
163		0xA3			\xff\xfe\xA3\x00		\xff\xfe\x00\x00\xA3\x00\x00\x00	£	 		Pound
164		0xA4			\xff\xfe\xA4\x00		\xff\xfe\x00\x00\xA4\x00\x00\x00	¤	 		Currency
165		0xA5			\xff\xfe\xA5\x00		\xff\xfe\x00\x00\xA5\x00\x00\x00	¥	 		Yen
166		0xA6			\xff\xfe\xA6\x00		\xff\xfe\x00\x00\xA6\x00\x00\x00	¦	 		Broken Bar
167		0xA7			\xff\xfe\xA7\x00		\xff\xfe\x00\x00\xA7\x00\x00\x00	§	 		Section
168		0xA8			\xff\xfe\xA8\x00		\xff\xfe\x00\x00\xA8\x00\x00\x00	¨	 		Diaeresis
169		0xA9			\xff\xfe\xA9\x00		\xff\xfe\x00\x00\xA9\x00\x00\x00	©	 		Copyright
170		0xAA			\xff\xfe\xAA\x00		\xff\xfe\x00\x00\xAA\x00\x00\x00	ª	 		Feminine Ordinal Indicator
171		0xAB			\xff\xfe\xAB\x00		\xff\xfe\x00\x00\xAB\x00\x00\x00	«	 		Left Pointing Double Angle Quotation
172		0xAC			\xff\xfe\xAC\x00		\xff\xfe\x00\x00\xAC\x00\x00\x00	¬	 		Not Sign
173		0xAD			\xff\xfe\xAD\x00		\xff\xfe\x00\x00\xAD\x00\x00\x00	¬	 		Soft Hyphen
174		0xAE			\xff\xfe\xAE\x00		\xff\xfe\x00\x00\xAE\x00\x00\x00	®	 		Registered
175		0xAF			\xff\xfe\xAF\x00		\xff\xfe\x00\x00\xAF\x00\x00\x00	¯	 		Macron
176		0xB0			\xff\xfe\xB0\x00		\xff\xfe\x00\x00\xB0\x00\x00\x00	°	 		Degree
177		0xB1			\xff\xfe\xB1\x00		\xff\xfe\x00\x00\xB1\x00\x00\x00	±	 		Plus-Minus
178		0xB2			\xff\xfe\xB2\x00		\xff\xfe\x00\x00\xB2\x00\x00\x00	²	 		Superscript Two
179		0xB3			\xff\xfe\xB3\x00		\xff\xfe\x00\x00\xB3\x00\x00\x00	³	 		Superscript Three
180		0xB4			\xff\xfe\xB4\x00		\xff\xfe\x00\x00\xB4\x00\x00\x00	´	 		Acute Accent
181		0xB5			\xff\xfe\xB5\x00		\xff\xfe\x00\x00\xB5\x00\x00\x00	µ	 		Micron
182		0xB6			\xff\xfe\xB6\x00		\xff\xfe\x00\x00\xB6\x00\x00\x00	¶	 		Pilcrow
183		0xB7			\xff\xfe\xB7\x00		\xff\xfe\x00\x00\xB7\x00\x00\x00	•	 		Middle Dot
184		0xB8			\xff\xfe\xB8\x00		\xff\xfe\x00\x00\xB8\x00\x00\x00	¸	 		Cedilla
185		0xB9			\xff\xfe\xB9\x00		\xff\xfe\x00\x00\xB9\x00\x00\x00	¹	 		Superscript One
186		0xBA			\xff\xfe\xBA\x00		\xff\xfe\x00\x00\xBA\x00\x00\x00	º	 		Masculine Ordinal Indicator
187		0xBB			\xff\xfe\xBB\x00		\xff\xfe\x00\x00\xBB\x00\x00\x00	»	 		Rigth Pointing Double Angle Quotation
188		0xBC			\xff\xfe\xBC\x00		\xff\xfe\x00\x00\xBC\x00\x00\x00	¼	 		Vulgar Fraction One Quarter
189		0xBD			\xff\xfe\xBD\x00		\xff\xfe\x00\x00\xBD\x00\x00\x00	½	 		Vulgar Fraction One Half
190		0xBE			\xff\xfe\xBE\x00		\xff\xfe\x00\x00\xBE\x00\x00\x00	¾	 		Vulgar Fraction Three Quarters
191		0xBF			\xff\xfe\xBF\x00		\xff\xfe\x00\x00\xBF\x00\x00\x00	¿	 		Inverterd Question
192		0xC0			\xff\xfe\xC0\x00		\xff\xfe\x00\x00\xC0\x00\x00\x00	À	 		Latin Capital Letter a with Grave
193		0xC1			\xff\xfe\xC1\x00		\xff\xfe\x00\x00\xC1\x00\x00\x00	Á	 		Latin Captal Letter a with Acute
194		0xC2			\xff\xfe\xC2\x00		\xff\xfe\x00\x00\xC2\x00\x00\x00	Â	 		Latin Capital Letter a with Circumflex
195		0xC3			\xff\xfe\xC3\x00		\xff\xfe\x00\x00\xC3\x00\x00\x00	Ã	 		Latin Capital Letter a with Tilde
196		0xC4			\xff\xfe\xC4\x00		\xff\xfe\x00\x00\xC4\x00\x00\x00	Ä	 		Latin Captial Letter a with Diaeresis
197		0xC5			\xff\xfe\xC5\x00		\xff\xfe\x00\x00\xC5\x00\x00\x00	Å	 		Latin Capital Letter a with Ring Above
198		0xC6			\xff\xfe\xC6\x00		\xff\xfe\x00\x00\xC6\x00\x00\x00	Æ	 		Latin Capital Letter AE
199		0xC7			\xff\xfe\xC7\x00		\xff\xfe\x00\x00\xC7\x00\x00\x00	Ç	 		Latin Capital Letter C with Cedilla
200		0xC8			\xff\xfe\xC8\x00		\xff\xfe\x00\x00\xC8\x00\x00\x00	È	 		Latin Capital Letter E with Grave
201		0xC9			\xff\xfe\xC9\x00		\xff\xfe\x00\x00\xC9\x00\x00\x00	É	 		Latin Capital Letter E with Acute
202		0xCA			\xff\xfe\xCA\x00		\xff\xfe\x00\x00\xCA\x00\x00\x00	Ê	 		Latin Capital Letter E with Circumflex
203		0xCB			\xff\xfe\xCB\x00		\xff\xfe\x00\x00\xCB\x00\x00\x00	Ë	 		Latin Capital Letter E with Diaeresis
204		0xCC			\xff\xfe\xCC\x00		\xff\xfe\x00\x00\xCC\x00\x00\x00	Ì	 		Latin Capital Letter I with Grave
205		0xCD			\xff\xfe\xCD\x00		\xff\xfe\x00\x00\xCD\x00\x00\x00	Í	 		Latin Capital Letter Iwith Acute
